gene,classification,female%,male%
MAGEA1,Positive,9.50,8.94
MAGEA1,Negative,36.31,45.25
MAGEA2,Positive,0.56,1.68
MAGEA2,Negative,45.25,52.51
MAGEA2B,Positive,0.00,1.12
MAGEA2B,Negative,45.81,53.07
MAGEA3,Positive,6.15,4.47
MAGEA3,Negative,39.66,49.72
MAGEA4,Positive,6.15,8.94
MAGEA4,Negative,39.66,45.25
MAGEA5,Positive,31.28,37.43
MAGEA5,Negative,14.53,16.76
MAGEA6,Positive,7.26,5.59
MAGEA6,Negative,38.55,48.60
MAGEA7P,Positive,3.91,6.15
MAGEA7P,Negative,41.90,48.04
MAGEA8,Positive,39.66,49.16
MAGEA8,Negative,6.15,5.03
MAGEA9,Positive,3.35,1.68
MAGEA9,Negative,42.46,52.51
MAGEA9B,Positive,2.79,3.91
MAGEA9B,Negative,43.02,50.28
MAGEA10,Positive,29.61,34.64
MAGEA10,Negative,16.20,19.55
MAGEA11,Positive,9.50,8.38
MAGEA11,Negative,36.31,45.81
MAGEA12,Positive,14.53,17.88
MAGEA12,Negative,31.28,36.31
MAGEB1,Positive,1.68,1.68
MAGEB1,Negative,44.13,52.51
MAGEB2,Positive,7.26,10.06
MAGEB2,Negative,38.55,44.13
MAGEB3,Positive,0.00,1.12
MAGEB3,Negative,45.81,53.07
MAGEB4,Positive,2.23,4.47
MAGEB4,Negative,43.58,49.72
MAGEB5,Positive,10.06,8.94
MAGEB5,Negative,35.75,45.25
MAGEB6,Positive,2.23,1.12
MAGEB6,Negative,43.58,53.07
MAGEB10,Positive,5.03,5.59
MAGEB10,Negative,40.78,48.60
MAGEB16,Positive,3.35,2.79
MAGEB16,Negative,42.46,51.40
MAGEB17,Positive,30.17,34.08
MAGEB17,Negative,15.64,20.11
MAGEB18,Positive,3.35,2.23
MAGEB18,Negative,42.46,51.96
MAGEC1,Positive,7.26,4.47
MAGEC1,Negative,38.55,49.72
MAGEC2,Positive,8.38,7.26
MAGEC2,Negative,37.43,46.93
MAGEC3,Positive,30.17,41.34
MAGEC3,Negative,15.64,12.85
CSAG1,Positive,30.17,38.55
CSAG1,Negative,15.64,15.64
CSAG2,Positive,6.15,6.70
CSAG2,Negative,39.66,47.49
CSAG3,Positive,19.55,15.64
CSAG3,Negative,26.26,38.55
CSAG4,Positive,1.68,1.68
CSAG4,Negative,44.13,52.51
MAGED1,Positive,45.81,54.19
MAGED1,Negative,0.00,0.00
MAGED2,Positive,45.81,54.19
MAGED2,Negative,0.00,0.00
TRO,Positive,45.81,54.19
TRO,Negative,0.00,0.00
MAGED4,Positive,25.70,29.61
MAGED4,Negative,20.11,24.58
MAGED4B,Positive,32.40,41.90
MAGED4B,Negative,13.41,12.29
MAGEE1,Positive,45.81,54.19
MAGEE1,Negative,0.00,0.00
MAGEE2,Positive,44.13,53.07
MAGEE2,Negative,1.68,1.12
MAGEF1,Positive,45.81,54.19
MAGEF1,Negative,0.00,0.00
NSMCE3,Positive,45.81,54.19
NSMCE3,Negative,0.00,0.00
MAGEH1,Positive,45.81,54.19
MAGEH1,Negative,0.00,0.00
MAGEL2,Positive,45.81,54.19
MAGEL2,Negative,0.00,0.00
TRIM28,Positive,45.81,54.19
TRIM28,Negative,0.00,0.00
NDN,Positive,45.81,54.19
NDN,Negative,0.00,0.00
