gene,classification,G1,G2,G3,G4
MAGEA1,Positive,1,23,9,0
MAGEA1,Negative,11,103,31,1
MAGEA2,Positive,0,4,0,0
MAGEA2,Negative,12,122,40,1
MAGEA2B,Positive,0,1,1,0
MAGEA2B,Negative,12,125,39,1
MAGEA3,Positive,1,10,8,0
MAGEA3,Negative,11,116,32,1
MAGEA4,Positive,1,21,5,0
MAGEA4,Negative,11,105,35,1
MAGEA5,Positive,7,89,26,1
MAGEA5,Negative,5,37,14,0
MAGEA6,Positive,0,14,9,0
MAGEA6,Negative,12,112,31,1
MAGEA7P,Positive,3,11,4,0
MAGEA7P,Negative,9,115,36,1
MAGEA8,Positive,12,111,35,1
MAGEA8,Negative,0,15,5,0
MAGEA9,Positive,0,8,1,0
MAGEA9,Negative,12,118,39,1
MAGEA9B,Positive,1,8,3,0
MAGEA9B,Negative,11,118,37,1
MAGEA10,Positive,6,85,23,1
MAGEA10,Negative,6,41,17,0
MAGEA11,Positive,3,21,8,0
MAGEA11,Negative,9,105,32,1
MAGEA12,Positive,6,35,16,1
MAGEA12,Negative,6,91,24,0
MAGEB1,Positive,1,3,2,0
MAGEB1,Negative,11,123,38,1
MAGEB2,Positive,1,18,12,0
MAGEB2,Negative,11,108,28,1
MAGEB3,Positive,0,0,2,0
MAGEB3,Negative,12,126,38,1
MAGEB4,Positive,1,9,2,0
MAGEB4,Negative,11,117,38,1
MAGEB5,Positive,2,28,4,0
MAGEB5,Negative,10,98,36,1
MAGEB6,Positive,0,3,3,0
MAGEB6,Negative,12,123,37,1
MAGEB10,Positive,0,16,3,0
MAGEB10,Negative,12,110,37,1
MAGEB16,Positive,0,8,3,0
MAGEB16,Negative,12,118,37,1
MAGEB17,Positive,7,80,27,1
MAGEB17,Negative,5,46,13,0
MAGEB18,Positive,0,10,0,0
MAGEB18,Negative,12,116,40,1
MAGEC1,Positive,1,12,8,0
MAGEC1,Negative,11,114,32,1
MAGEC2,Positive,0,18,9,1
MAGEC2,Negative,12,108,31,0
MAGEC3,Positive,9,93,25,1
MAGEC3,Negative,3,33,15,0
CSAG1,Positive,6,90,26,1
CSAG1,Negative,6,36,14,0
CSAG2,Positive,2,18,3,0
CSAG2,Negative,10,108,37,1
CSAG3,Positive,3,42,18,0
CSAG3,Negative,9,84,22,1
CSAG4,Positive,0,5,1,0
CSAG4,Negative,12,121,39,1
MAGED1,Positive,12,126,40,1
MAGED1,Negative,0,0,0,0
MAGED2,Positive,12,126,40,1
MAGED2,Negative,0,0,0,0
TRO,Positive,12,126,40,1
TRO,Negative,0,0,0,0
MAGED4,Positive,5,71,22,1
MAGED4,Negative,7,55,18,0
MAGED4B,Positive,8,94,30,1
MAGED4B,Negative,4,32,10,0
MAGEE1,Positive,12,126,40,1
MAGEE1,Negative,0,0,0,0
MAGEE2,Positive,12,124,37,1
MAGEE2,Negative,0,2,3,0
MAGEF1,Positive,12,126,40,1
MAGEF1,Negative,0,0,0,0
NSMCE3,Positive,12,126,40,1
NSMCE3,Negative,0,0,0,0
MAGEH1,Positive,12,126,40,1
MAGEH1,Negative,0,0,0,0
MAGEL2,Positive,12,126,40,1
MAGEL2,Negative,0,0,0,0
TRIM28,Positive,12,126,40,1
TRIM28,Negative,0,0,0,0
NDN,Positive,12,126,40,1
NDN,Negative,0,0,0,0
